메뉴 이름,방법 분류,국가 분류,테마 분류,난이도 분류,주재료 이름,조리시간
견과류 영양솥밥,"['밥', '죽', '스프']",한식,메인요리,쉬움,"['백미 1과3/4컵', '은행 12개', '밤 8개', '대추 4개', '잣 1큰술']",60
굴밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['굴 300g', '쌀 200g', '보리쌀 80g']",30
김치볶음밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['김치(잘게썬것) 1/3포기', '밥 2공기']",20
꽃상추쌈,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['상추 4장', '밥 1그릇']",30
녹두죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['녹두 1컵', '쌀 2컵']",60
단팥죽,"['밥', '죽', '스프']",한식,메인요리,쉬움,"['팥 2컵', '설탕 2컵', '인절미 100g', '소금 약간']",60
달래간장과 모둠버섯밥,"['밥', '죽', '스프']",한식,메인요리,쉬움,"['표고버섯 2장', '팽이버섯 1봉', '느타리버섯 20g', '양송이버섯 2개', '새송이버섯 1개', '쌀 100g']",60
닭날개주먹밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['찹쌀 2/3컵씩', '멥쌀 2/3컵씩', '닭날개 10개']",60
닭안심죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['닭(안심) 50g', '찬밥 1/2공기']",30
대구계란죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['대구(살) 50g', '쌀(가루) 1/2컵']",20
돌솥비빔밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['애호박 60g', '취나물 60g', '시금치 60g', '고사리 60g', '육회 60g']",30
두부밥부침,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['두부 1모', '찬밥 1/2공기']",20
무죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['무 1/4개', '쌀 1/2컵']",60
무청밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['불린쌀 1과1/2컵', '무청 삶은 것(시래기) 80g', '물 1과1/2컵']",60
미니김밥,"['밥', '죽', '스프']",한식,간식,매우 쉬움,"['쌀 1컵', '김 3장', '계란 3개']",30
